StartDate,EndDate,Progress,Duration__in_seconds_,Finished,Age,Edu,Race,Politics,PRegion,Region,SES,G,G_9_TEXT,FamRace,DispMC,ContMC,S1,S2,S3,S4,Attention,S5,S6,S7,S8,S9,N1,N2,N3,N4,N5,N6,N7,clean,wash,six,mask,closed,number,more,VaccineY,HaveCOVID,HadCOVID,MC1,MC2,MC3,MC4,MC5,MC6,VaccineIntention,MandatoryVaccine,PrivatizationSupport,PublicHealthInvest,HealthTaxIncrease,EmergencyAssistanceSupport,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,ID1,ID2,ID3,ID4,FL_18_DO_RacismCondition,FL_18_DO_Control,S2R,S4R,S6R,S7R,S9R,N5R,N6R,moreR,numberR,MC4R,MC5R,fullpriR,MR2R,ID1R,ID3R,Condition,Severity,Normalcy,HealthBehaviors,Disparities,ModRace,WhiteID
2/10/2021 6:11:27,2/10/2021 6:12:36,100,69,1,44,4,5,94,5,5,4,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:06:19,2/10/2021 6:12:53,100,394,1,39,9,1,53,5,5,3,1, ,3,2, ,7,1,7,1,5,7,1,1,7,1,1,1,1,1,7,7,1,7,7,7,7,1,1,1,2,4,4,1,1,1,1,7,1,7,7,1,7,4,7,1,4,4,7,1,1,1,1,4,1,1,1,1, ,7,7,7,7,7,1,1,7,7,7,1,7,4,4,7,1,7,1,7,1,1.85714285714286,1
2/10/2021 6:12:42,2/10/2021 6:13:24,100,42,1,43,9,4,100,5,5,6,0, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:58:47,2/10/2021 6:13:42,100,894,1,37,8,1,30,5,5,6,0, ,4, ,1,6,1,7,1,5,6,1,1,7,2,1,2,1,2,7,6,4,6,7,7,7,7,6,2,2,4,4,5,5,5,6,6,5,7,6,1,6,3,6,1,6,2,4,2,1,1,1,1,1,7,1, ,1,7,7,7,7,6,1,2,6,2,2,2,7,2,7,1,0,6.66666666666667,1.85714285714286,5.83333333333333,4.4,1.42857142857143,1
2/10/2021 6:09:25,2/10/2021 6:13:51,100,265,1,35,8,1,37,5,5,3,1, ,2,1, ,7,5,7,1,5,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,3,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,6,1, ,3,7,4,3,1,1,1,1,1,1,1,1,1,3,1,1,5.11111111111111,5.28571428571429,5,5.4,5.71428571428571,6.5
2/10/2021 6:05:13,2/10/2021 6:16:15,100,661,1,37,8,1,75,5,5,4,0, ,3, ,1,7,1,7,1,5,7,1,1,7,4,4,4,1,1,7,7,1,7,7,7,7,4,3,1,2,4,1,4,7,4,1,7,1,4,1,7,7,1,7,1,7,1,7,1,7,1,1,7,1,7,1, ,1,7,7,7,7,4,1,1,7,5,7,1,1,1,1,1,0,6.66666666666667,1.85714285714286,6.66666666666667,3.4,1.85714285714286,1
2/10/2021 6:15:44,2/10/2021 6:16:18,100,33,1,29,5,4,100,4,4,4,1, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:15:49,2/10/2021 6:16:20,100,31,1,45,9,6,40,6,5,6,1, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:05:05,2/10/2021 6:16:41,100,696,1,64,9,1,100,5,5,6,0, ,4, ,1,7,1,7,1,5,7,1,1,1,1,5,5,5,1,7,7,1,7,7,7,7,7,2,1,2,4,4,1,1,1,7,7,7,7,7,7,7,7,4,1,1,1,7,1,1,1,7,1,1,1,1, ,1,7,7,7,7,7,1,1,7,6,1,1,1,7,7,7,0,6.33333333333333,2.71428571428571,6.83333333333333,2.2,2.71428571428571,1
2/10/2021 6:03:57,2/10/2021 6:17:22,100,804,1,60,5,1,80,5,5,6,1, ,4, ,1,7,1,7,1,5,7,1,1,7,7,1,1,1,1,7,7,7,7,7,7,7,7,3,1,2,3,4,7,7,7,1,7,7,7,7,1,7,7,7,1,7,1,7,1,1,1,1,7,1,7,1, ,1,7,7,7,7,1,1,1,7,5,7,1,7,1,1,1,0,6.33333333333333,1.85714285714286,6.66666666666667,5.8,1,1
2/10/2021 6:15:53,2/10/2021 6:17:35,100,101,1,27,5,5,66,3,3,3,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:10:18,2/10/2021 6:17:59,100,460,1,58,9,1,65,5,5,6,1, ,4,1, ,7,1,7,1,5,7,3,1,7,5,1,2,3,2,5,5,5,7,7,7,7,7,4,1,2,4,4,5,5,5,5,5,5,7,5,1,7,1,7,1,7,6,4,1,1,1,1,4,1,5,1,1, ,7,7,5,7,3,3,3,7,4,3,3,7,1,4,3,1,6.33333333333333,2.71428571428571,6.5,4.6,1.71428571428571,1
2/10/2021 6:02:56,2/10/2021 6:18:25,100,928,1,37,8,1,50,5,5,4,0, ,3,1, ,5,1,7,1,5,7,1,1,7,1,4,4,4,3,5,4,4,7,7,7,7,7,7,7,2,4,4,3,4,5,4,5,4,7,7,1,7,4,7,1,7,4,4,1,1,1,2,4,1,4,1,1, ,7,7,7,7,7,3,4,1,1,4,3,7,1,4,4,1,6.77777777777778,3.71428571428571,5,3.8,1.57142857142857,1
2/10/2021 5:59:01,2/10/2021 6:18:44,100,1182,1,65,8,1,80,5,5,6,0, ,4, ,1,7,1,7,1,5,7,1,1,7,1,4,4,4,4,6,5,6,6,6,6,6,7,1,1,2,4,4,2,2,6,2,6,6,7,7,1,7,2,6,2,5,4,4,5,2,5,2,5,5,6,5, ,1,7,7,7,7,7,2,3,7,7,6,2,7,3,3,2,0,7,3.85714285714286,6.33333333333333,3.6,3.28571428571429,5
2/10/2021 6:18:51,2/10/2021 6:19:34,100,42,1,55,8,6,75,5,5,6,1, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
